AGEB_ID,Males,Females,0-14 years,15-64 years,65+ years,yes,no,Roman Catholics,Protestants,No religion,Population,Area,Density,Other religion
3110100010583,73,67,40,100,,97,3,102,19,18,140,0.12668km²,1105/km²,
3110100010456,226,203,96,310,23,313,20,306,44,79,429,0.38010km²,1129/km²,
311010001055A,3036,3163,1853,4243,103,4295,51,3948,1097,1124,6199,0.55566km²,11156/km²,16
3110100010460,2340,2418,1251,3288,215,3418,89,3490,665,586,4758,1.144km²,4161/km²,10
3110100010441,807,803,418,1154,38,1160,32,1264,272,64,1610,0.16274km²,9893/km²,10
3110100010422,73,93,35,125,6,131,,129,27,9,166,0.84125km²,197.3/km²,
3110100010352,53,43,31,59,6,58,7,54,21,21,96,0.20367km²,471.4/km²,
311010001030A,191,169,111,242,7,240,9,209,82,69,360,1.835km²,196.2/km²,
3110100010437,274,279,121,416,16,427,5,388,106,59,553,0.25267km²,2189/km²,
3105000015329,1067,1132,347,1510,335,1782,70,1660,313,218,2199,0.33978km²,6472/km²,
3105000012466,1500,1549,541,2207,301,2449,59,2289,357,390,3049,0.45762km²,6663/km²,8
310500001249A,556,652,130,898,180,1074,4,949,65,180,1208,0.39085km²,3091/km²,5
3105000015827,997,1035,541,1427,64,1486,5,1454,269,296,2032,0.29500km²,6888/km²,13
3105000014706,1579,1643,825,2297,100,2375,22,2329,473,418,3222,0.31835km²,10121/km²,
3105000013784,1899,1939,728,2961,145,3084,26,2911,566,353,3838,0.32493km²,11812/km²,
3105000013695,762,824,285,1189,101,1277,24,1164,229,168,1586,0.46969km²,3377/km²,7
3105000010760,1659,1730,652,2232,499,2611,126,2633,452,281,3389,0.42019km²,8065/km²,6
3105000013515,1836,1865,1036,2557,108,2648,17,2733,586,366,3701,0.54861km²,6746/km²,12
3105000015259,483,538,132,697,182,860,29,828,88,91,1021,0.45294km²,2254/km²,
3105000016223,,,,,,,,,,,0,0.015300km²,0/km²,
3105000011858,1660,1729,759,2299,314,2515,115,2151,828,393,3389,0.54272km²,6244/km²,
3105000010614,1294,1492,389,1837,560,2356,41,2267,262,248,2786,0.69360km²,4017/km²,9
3105000014814,1605,1765,775,2493,102,2585,10,2668,403,294,3370,0.55058km²,6121/km²,
3105000016736,69,91,33,115,12,127,,120,16,23,160,0.70725km²,226.2/km²,
310500001021A,715,856,169,980,418,1388,14,1205,112,232,1571,0.50301km²,3123/km²,12
3105000013958,542,514,235,800,21,812,9,872,91,91,1056,0.076380km²,13826/km²,
3105000011542,833,882,257,1302,156,1453,5,1444,105,156,1715,0.53301km²,3218/km²,5
3105000012589,587,683,133,947,152,1137,,1117,33,78,1270,0.53362km²,2380/km²,
3105000010629,905,968,234,1291,348,1615,24,1397,180,283,1873,0.48450km²,3866/km²,10
3105000010493,1232,1483,307,1793,615,2366,42,2209,171,315,2715,0.74077km²,3665/km²,13
3105000015742,1087,1121,541,1579,88,1653,14,1596,346,264,2208,0.48528km²,4550/km²,
3105000011468,716,796,188,935,377,1303,21,1238,101,140,1512,0.53782km²,2811/km²,5
3105000014513,1423,1555,489,2328,161,2473,16,2360,367,236,2978,0.31573km²,9432/km²,5
3105000012856,580,593,216,823,134,932,25,910,186,75,1173,0.23779km²,4933/km²,
3105000016702,901,1056,540,1356,57,1414,3,1559,201,186,1957,0.51772km²,3780/km²,7
3105000011523,892,903,266,1319,210,1521,8,1450,170,175,1795,0.48152km²,3728/km²,
3105000014301,240,215,86,360,9,365,4,319,48,87,455,0.032470km²,14013/km²,
3105000014320,226,220,109,325,12,337,,313,75,56,446,0.22146km²,2014/km²,
3105000010718,2275,2427,899,3160,631,3733,70,3603,638,439,4702,0.72285km²,6505/km²,9
3105001116280,15,12,9,15,3,18,,15,,10,27,0.030870km²,874.6/km²,
3105000936346,,,,,,,,,,,0,0.040050km²,0/km²,
3105000012678,1333,1360,591,1894,199,2048,54,1981,408,267,2693,0.35350km²,7618/km²,20
3105000016399,518,551,204,711,154,845,20,865,137,67,1069,0.23877km²,4477/km²,
3105000013407,530,521,231,727,79,786,34,700,218,119,1051,0.23954km²,4388/km²,
3105000014547,221,238,96,349,10,360,3,322,75,58,459,0.039890km²,11507/km²,
3105000013233,1002,1060,396,1426,232,1601,65,1674,246,133,2062,0.42536km²,4848/km²,
3105000012682,999,1009,404,1312,276,1552,52,1458,320,209,2008,0.24153km²,8314/km²,
3105000013125,1323,1432,728,1834,193,1958,69,1733,685,336,2755,0.48403km²,5692/km²,
3105000012269,1408,1546,541,2136,277,2377,36,2255,434,263,2954,0.27769km²,10638/km²,
3105000010597,1284,1370,471,1795,388,2112,71,1984,509,157,2654,0.58549km²,4533/km²,3
3105000014034,2011,2202,910,3126,176,3219,84,3159,663,305,4213,0.45434km²,9273/km²,5
3105000013163,1174,1244,531,1572,310,1826,61,1792,285,332,2418,0.27050km²,8939/km²,4
3105000015314,1007,1096,385,1363,355,1678,40,1682,287,132,2103,0.30761km²,6837/km²,
310500001651A,833,922,309,1332,114,1439,7,1276,264,204,1755,0.34600km²,5072/km²,4
3105000010652,1601,1693,568,2194,510,2680,46,2751,355,161,3294,0.46920km²,7020/km²,3
3105000014000,1295,1297,653,1788,151,1825,114,1538,722,326,2592,0.68283km²,3796/km²,4
3105000012663,1327,1450,543,2054,177,2203,31,2144,316,306,2777,0.39477km²,7034/km²,
3105000010309,1070,1191,286,1538,437,1945,30,1890,194,170,2261,0.48663km²,4646/km²,6
310500001053A,1911,2179,562,2639,889,3471,57,3474,283,306,4090,0.84279km²,4853/km²,6
3105000016079,1009,983,612,1347,33,1361,19,1315,348,315,1992,0.44569km²,4469/km²,8
3105000014316,854,862,425,1238,53,1281,10,1270,277,165,1716,0.15230km²,11267/km²,4
310500001548A,1040,1012,593,1409,50,1440,19,1416,333,292,2052,0.32816km²,6253/km²,10
3105000012803,1105,1196,408,1729,155,1870,23,1850,201,238,2301,0.21570km²,10668/km²,
3105000010489,1202,1383,370,1699,516,2181,34,2104,290,173,2585,0.75470km²,3425/km²,13
3105000012216,1972,2316,657,3104,525,3612,19,3247,475,504,4288,0.77940km²,5502/km²,49
3105000014886,1675,1799,929,2435,110,2520,25,2672,526,263,3474,0.38305km²,9069/km²,10
3105000015102,1147,1384,319,1821,391,2198,14,2117,214,194,2531,0.37427km²,6762/km²,
3105000015070,961,1001,378,1274,308,1549,35,1553,234,162,1962,0.30756km²,6379/km²,8
3105000013962,801,861,335,1211,116,1312,15,1222,196,242,1662,0.55405km²,3000/km²,
3105000015047,704,778,342,1074,66,1084,56,1096,234,151,1482,0.67682km²,2190/km²,
3105000016238,316,320,147,454,35,489,,459,98,74,636,0.096760km²,6573/km²,5
310500001224A,966,991,427,1417,93,1499,31,1391,348,196,1957,0.49202km²,3977/km²,
3105000016435,378,395,160,546,39,605,8,476,175,93,773,0.71146km²,1086/km²,
3105000010563,1361,1640,401,1950,650,2573,27,2528,233,234,3001,0.53578km²,5601/km²,6
3105000012396,610,808,164,868,386,1248,6,1199,74,128,1418,0.59429km²,2386/km²,4
3105000013394,810,848,364,1176,118,1237,57,1177,295,185,1658,0.25808km²,6424/km²,
3105000014566,2427,2647,916,3792,366,4133,25,3866,474,704,5074,1.885km²,2692/km²,21
3105000013587,37,41,9,51,18,69,,28,41,9,78,0.046950km²,1661/km²,
3105000014890,1359,1396,731,1938,86,2013,11,1878,441,433,2755,0.39038km²,7057/km²,3
3105000013727,1159,1325,414,1912,158,2059,11,1913,320,243,2484,0.26191km²,9484/km²,
3105000015282,719,801,228,1018,274,1272,20,1325,95,98,1520,0.22691km²,6699/km²,
3105000012979,1261,1339,546,1726,323,1977,77,1995,351,236,2600,0.35777km²,7267/km²,7
3105000012555,1110,1245,391,1633,317,1909,55,1908,264,159,2355,0.45018km²,5231/km²,
3105000013248,154,154,74,211,19,227,7,235,60,9,308,0.11808km²,2608/km²,
3105000014867,490,644,117,710,306,1011,6,941,38,138,1134,0.25067km²,4524/km²,17
310500001263A,1483,1630,609,2092,412,2442,62,2299,510,282,3113,0.54894km²,5671/km²,6
3105000015263,673,777,139,925,382,1275,36,1237,107,101,1450,0.35074km²,4134/km²,
3105000013267,2355,2545,1004,3580,316,3831,65,3817,631,443,4900,0.88595km²,5531/km²,7
3105000014087,451,580,120,587,324,904,7,899,54,74,1031,0.31561km²,3267/km²,4
310500001612A,1660,1659,755,2328,236,2499,65,2509,498,309,3319,0.60572km²,5479/km²,3
3105000014477,374,351,137,524,64,578,10,483,116,113,725,2.918km²,248.5/km²,4
3105000010169,679,901,153,979,447,1408,19,1334,85,146,1580,0.87287km²,1810/km²,3
3105000010633,1904,2047,645,2621,685,3246,60,3326,361,241,3951,0.61915km²,6381/km²,12
